                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.91727,                 1.3117,                 1.0666,                0.89587,                0.85659,                0.91505,                 0.7322,                0.72877,                0.65945,                 0.9093,              0.0033258,              0.0033258,              0.0033258
                      2,                0.74231,                0.67452,                0.95261,                0.91294,                0.88295,                0.93703,                0.76044,                0.68776,                0.58389,                0.89054,              0.0065932,              0.0065932,              0.0065932
                      3,                0.75144,                0.64109,                0.95208,                0.91936,                0.89533,                0.94333,                0.77051,                0.66473,                0.53558,                0.88533,              0.0097946,              0.0097946,              0.0097946
                      4,                0.73578,                0.60483,                0.95032,                 0.9206,                0.88996,                 0.9419,                0.76337,                0.68392,                0.51935,                 0.8905,               0.009703,               0.009703,               0.009703
                      5,                0.69806,                0.56034,                0.93767,                 0.9136,                0.89851,                0.94605,                0.77638,                0.64501,                0.50398,                0.87743,               0.009604,               0.009604,               0.009604
                      6,                0.68029,                0.53233,                0.93299,                0.93138,                0.90391,                0.95316,                0.79151,                0.62895,                0.45159,                0.87262,               0.009505,               0.009505,               0.009505
                      7,                0.66426,                0.51194,                0.92787,                0.92922,                0.90723,                0.95494,                0.79669,                0.61355,                0.43099,                0.86783,               0.009406,               0.009406,               0.009406
                      8,                0.65188,                0.49497,                0.92258,                0.93265,                 0.9114,                 0.9556,                0.79915,                0.60654,                0.42003,                0.86467,               0.009307,               0.009307,               0.009307
                      9,                 0.6401,                0.48326,                0.92022,                0.92829,                0.90964,                0.95619,                0.80178,                0.60057,                0.42447,                0.86747,               0.009208,               0.009208,               0.009208
                     10,                0.63498,                0.47178,                0.92013,                  0.932,                0.91287,                0.95729,                0.80258,                0.60397,                0.41363,                0.86459,               0.009109,               0.009109,               0.009109
                     11,                0.62631,                0.46308,                0.91568,                0.93303,                 0.9065,                0.95738,                0.80616,                0.59236,                0.40659,                 0.8642,                0.00901,                0.00901,                0.00901
                     12,                0.62075,                0.45514,                0.91533,                0.93494,                0.90643,                0.95627,                0.80535,                0.59864,                0.40581,                0.86112,               0.008911,               0.008911,               0.008911
                     13,                0.61315,                0.44699,                0.91276,                0.93976,                0.91498,                0.96029,                0.81084,                0.57889,                 0.3891,                0.86183,               0.008812,               0.008812,               0.008812
